Unnamed: 0,region_code,order_submited_date,order_submited_datetime,parent_category,category,product_id,product_name,cost,benchmark,median_bench,avg_bench,max_bench,gross_price,net_price,quantity,product_step_unit,benchmark_count
250663,BOG,2023-10-16,2023-10-16 13:17,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
85348,BOG,2023-10-16,2023-10-16 13:24,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,2.5,2.5,1.0
192697,BOG,2023-10-16,2023-10-16 13:28,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3453.2,2.5,2.5,1.0
61721,BOG,2023-10-16,2023-10-16 13:29,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1380.0,1342.74,3.0,3.0,1.0
226506,BOG,2023-10-16,2023-10-16 13:30,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
296139,BOG,2023-10-16,2023-10-16 13:30,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3770.0,10.0,1.0,1.0
311706,BOG,2023-10-16,2023-10-16 13:30,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1380.0,1380.0,3.0,3.0,1.0
125556,BOG,2023-10-16,2023-10-16 13:35,Frutas & verduras,Frutas,-4543321951091465013,Fresa Pequeño Kg,4018.1125,5714.0,5714.0,5714.0,5714.0,6260.0,6260.0,5.0,5.0,1.0
140253,BOG,2023-10-16,2023-10-16 13:35,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3290.0,3290.0,5.0,1.0,1.0
19164,BOG,2023-10-16,2023-10-16 13:46,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,2.0,1.0,1.0
234528,BOG,2023-10-16,2023-10-16 13:55,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
92074,BOG,2023-10-16,2023-10-16 13:56,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
20146,BOG,2023-10-16,2023-10-16 13:56,Frutas & verduras,Verduras,3038455164096626586,Guatila Estándar Kg,1483.0919,2000.0,2000.0,2000.0,2000.0,1880.0,1880.0,4.0,1.0,1.0
77586,BOG,2023-10-16,2023-10-16 13:56,Frutas & verduras,Frutas,1260412819932663981,Fresa Selecta (Grande) Kg,8875.2016,10714.0,10714.0,10714.0,10714.0,11410.0,11410.0,1.0,1.0,1.0
192698,BOG,2023-10-16,2023-10-16 13:56,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,3.0,1.0,1.0
21282,BOG,2023-10-16,2023-10-16 13:56,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
162886,BOG,2023-10-16,2023-10-16 13:56,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
298375,BOG,2023-10-16,2023-10-16 13:57,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
236898,BOG,2023-10-16,2023-10-16 14:00,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
108028,BOG,2023-10-16,2023-10-16 14:06,Frutas & verduras,Frutas,1260412819932663981,Fresa Selecta (Grande) Kg,8875.2016,10714.0,10714.0,10714.0,10714.0,11410.0,11410.0,1.0,1.0,1.0
